metric,value
timestamp,2026-01-23T10:10:40.214460Z
seed,43
epochs,800
learning_rate,0.0002
noise_std,0.002
variability_bound,0.05
max_physics_weight,0.1
hidden_layers,4
neurons_per_layer,128
state_mixing,0.2
use_concentration_feature,False
trainable_params,ohmic_conductance
train_samples,800
test_samples,200
training_time_minutes,0.03966934283574422
pinn_inference_ms_per_1000pts,2.518892288208008
vteam_inference_ms_per_1000pts,2.4962425231933594
pinn_rrmse,0.047085785239821654
vteam_rrmse,0.27294956818617216
improvement_factor,5.7968570938333155
set_voltage_mean,0.9870941919088364
set_voltage_std,0.09389042821810904
on_resistance_cv,0.549707230429767
final_total_loss,5.084900294605177e-06
final_data_loss,3.4593131914562036e-08
final_physics_loss,5.050306936027482e-05
final_lambda_physics,0.1
noise_rrmse_0.010,0.0016757322539732325
noise_rrmse_0.020,0.0030925564129413883
noise_rrmse_0.050,0.010147920593520793
noise_rrmse_0.100,0.01733445527335304
param_ohmic_conductance,9.999997701015673e-07
