Time_s,Current_A,Temperature_K,State_x,DeltaT_K
0.01,0.00011318011820549145,300.00011316880097,0.2999279797077179,0.00011316880096501336
0.010472898382363585,0.0001131631652242504,300.0001185191731,0.2999245822429657,0.00011851917309968485
0.01096816005273138,0.00011315389565424994,300.0001241220501,0.2999210059642792,0.00012412205012424238
0.011486842567375536,0.00011317535972921178,300.0001299909401,0.2999172806739807,0.00012999094008137035
0.012030053494233242,0.00011316514428472146,300.0001361367487,0.2999133765697479,0.00013613674872203774
0.012598952777950272,0.00011319559416733682,300.00014257485236,0.2999092936515808,0.00014257485236157663
0.01319475521676706,0.00011318046745145693,300.0001493164331,0.299905002117157,0.0001493164331236585
0.013818733056536322,0.00011316023301333189,300.00015637547347,0.29990050196647644,0.00015637547346614156
0.014472218707411343,0.00011318853648845106,300.0001637700898,0.2998957931995392,0.00016377008978452068
0.015156607589006029,0.0001131852695834823,300.00017151406917,0.2998908758163452,0.00017151406916582346
0.015873361110102097,0.00011321156489429995,300.0001796260311,0.29988572001457214,0.0001796260311266451
0.016624009789266127,0.00011317220196360722,300.00018811852703,0.29988032579421997,0.0001881185270349306
0.017410156523040163,0.00011316763266222551,300.0001970121358,0.2998746633529663,0.00019701213579992327
0.018233480008684414,0.0001131721364799887,300.0002063265428,0.29986873269081116,0.0002063265428091654
0.019095738328780976,0.00011319535406073555,300.00021608326415,0.2998625338077545,0.0002160832641493471
0.01999877270535286,0.00011317694588797167,300.00022629953656,0.299856036901474,0.00022629953656405633
0.020944511431514698,0.00011317570169921964,300.00023699861936,0.2998492419719696,0.00023699861935710942
0.02193497398905059,0.00011317087773932144,300.00024820296534,0.29984211921691895,0.0002482029653378959
0.022972275360711523,0.00011318553879391402,300.0002599384458,0.299834668636322,0.00025993844582217207
0.024058630546440658,0.0001131926619564183,300.0002722294081,0.29982686042785645,0.0002722294080967913
0.02519635929317015,0.00011320403427816927,300.0002851026156,0.29981866478919983,0.00028510261557812555
0.026387891048289334,0.00011318471661070362,300.00029858197917,0.2998100817203522,0.0002985819791661015
0.027635770147361603,0.00011318000179016963,300.000312697847,0.2998011112213135,0.0003126978469936148
0.028942661247167517,0.00011315678420942277,300.00032747784,0.29979172348976135,0.0003274778400168543
0.030311355015675792,0.00011319225450279191,300.0003429612171,0.2997818887233734,0.00034296121708621286
0.031744774091091936,0.00011317023745505139,300.00035917319025,0.29977157711982727,0.00035917319024747485
0.03324597932270942,0.00011320495832478628,300.000376156539,0.2997607886791229,0.00037615653900502366
0.034818176306889666,0.00011317588359816,300.0003939379099,0.299749493598938,0.0003939379099051621
