Bias_V,T95_K,DeltaT_K,tau_relative,Lifetime_seconds,Lifetime_hours,Lifetime_days,Accel_Factor
0.05,300.18392765290326,0.1839276529032645,0.9910575697555924,19325622.610234052,5368.228502842792,223.6761876184497,1.0
0.1,300.53334332764825,0.5333433276482538,0.9743184062322849,18999208.921529558,5277.5580337582105,219.8982514065921,1.017180383143985
0.2,302.283543606173,2.283543606172998,0.8951633936568301,17455686.176308185,4848.801715641162,202.03340481838177,1.107124773843829
