time_s,I_level1_A,I_level2_A,I_level3_A,norm_I_level1,norm_I_level2,norm_I_level3
25.616589169457267,1.690601799781589e-05,-6.396289496464611e-06,-8.332797680834817e-05,0.9999999300345062,0.9999999300345062,0.9999999300345063
26.826957952797247,1.690601794190567e-05,-6.396289475311317e-06,-8.332797653277258e-05,0.9999999267273869,0.9999999267273868,0.9999999267273869
28.094515949814063,1.690601788335372e-05,-6.396289453158542e-06,-8.332797624417621e-05,0.9999999232640081,0.999999923264008,0.999999923264008
29.421965317243743,1.6906017822035223e-05,-6.396289429959061e-06,-8.332797594194383e-05,0.9999999196369864,0.9999999196369865,0.9999999196369866
30.812135887140023,1.690601775781947e-05,-6.3962894056634196e-06,-8.332797562543116e-05,0.9999999158385906,0.9999999158385906,0.9999999158385907
32.26799119945808,1.6906017690569557e-05,-6.396289380219822e-06,-8.332797529396344e-05,0.9999999118607226,0.9999999118607226,0.9999999118607227
33.79263481967431,1.6906017620142128e-05,-6.396289353574031e-06,-8.332797494683408e-05,0.9999999076949029,0.9999999076949028,0.9999999076949028
35.38931695490988,1.6906017546387043e-05,-6.396289325669241e-06,-8.332797458330305e-05,0.9999999033322504,0.9999999033322503,0.9999999033322504
37.06144138266228,1.690601746914707e-05,-6.3962892964459664e-06,-8.332797420259541e-05,0.9999998987634651,0.9999998987634652,0.9999998987634653
38.81257270691536,1.6906017388257562e-05,-6.3962892658419105e-06,-8.332797380389955e-05,0.9999998939788077,0.9999998939788078,0.9999998939788077
40.64644395709628,1.6906017303546068e-05,-6.3962892337918296e-06,-8.332797338636554e-05,0.999999888968078,0.9999998889680779,0.9999998889680779
42.566964546078715,1.6906017214832004e-05,-6.396289200227401e-06,-8.33279729491033e-05,0.9999998837205941,0.999999883720594,0.9999998837205942
44.578228604197065,1.690601712192626e-05,-6.3962891650770745e-06,-8.33279724911807e-05,0.99999987822517,0.9999998782251699,0.99999987822517
46.6845237070379,1.690601702463077e-05,-6.396289128265916e-06,-8.33279720116215e-05,0.9999998724700901,0.9999998724700901,0.9999998724700901
48.89034001561443,1.6906016922738127e-05,-6.396289089715452e-06,-8.332797150940343e-05,0.9999998664430864,0.9999998664430864,0.9999998664430862
51.20037984840887,1.6906016816031115e-05,-6.3962890493435e-06,-8.332797098345584e-05,0.99999986013131,0.9999998601313099,0.99999986013131
53.61956770568817,1.6906016704282262e-05,-6.396289007063999e-06,-8.332797043265756e-05,0.999999853521306,0.999999853521306,0.9999998535213062
56.153060767462726,1.690601658725334e-05,-6.396288962786816e-06,-8.332796985583437e-05,0.9999998465989833,0.9999998465989834,0.9999998465989834
58.80625988746757,1.6906016464694876e-05,-6.396288916417562e-06,-8.332796925175662e-05,0.9999998393495851,0.9999998393495849,0.999999839349585
61.584821106602604,1.6906016336345593e-05,-6.396288867857389e-06,-8.332796861913658e-05,0.9999998317576569,0.9999998317576569,0.999999831757657
64.4946677103762,1.6906016201931883e-05,-6.396288817002776e-06,-8.33279679566256e-05,0.9999998238070147,0.9999998238070147,0.9999998238070148
67.54200285605587,1.6906016061167208e-05,-6.3962887637453145e-06,-8.332796726281139e-05,0.9999998154807096,0.9999998154807096,0.9999998154807096
70.73332279644438,1.6906015913751488e-05,-6.396288707971469e-06,-8.332796653621487e-05,0.9999998067609915,0.9999998067609914,0.9999998067609915
74.07543072847163,1.6906015759370456e-05,-6.396288649562342e-06,-8.332796577528708e-05,0.9999997976292716,0.9999997976292717,0.9999997976292717
77.57545129612413,1.6906015597695018e-05,-6.3962885883934195e-06,-8.332796497840592e-05,0.9999997880660837,0.9999997880660838,0.9999997880660838
81.24084577862966,1.690601542838051e-05,-6.3962885243343006e-06,-8.33279641438726e-05,0.9999997780510409,0.9999997780510409,0.9999997780510409
85.07942799627445,1.6906015251065995e-05,-6.396288457248427e-06,-8.332796326990809e-05,0.9999997675627932,0.9999997675627932,0.9999997675627933
89.09938096776106,1.6906015065373472e-05,-6.396288386992787e-06,-8.332796235464927e-05,0.999999756578982,0.9999997565789821,0.9999997565789822
93.30927435461663,1.690601487090709e-05,-6.39628831341761e-06,-8.332796139614501e-05,0.9999997450761925,0.9999997450761925,0.9999997450761925
97.71808272983898,1.6906014667252293e-05,-6.39628823636605e-06,-8.332796039235201e-05,0.9999997330299032,0.9999997330299031,0.9999997330299031
102.33520470972576,1.6906014453974923e-05,-6.396288155673849e-06,-8.33279593411304e-05,0.9999997204144336,0.9999997204144335,0.9999997204144337
107.17048298967093,1.6906014230620328e-05,-6.396288071168991e-06,-8.332795824023919e-05,0.9999997072028908,0.9999997072028909,0.9999997072028909
112.23422532664173,1.6906013996712362e-05,-6.396287982671329e-06,-8.332795708733154e-05,0.9999996933671106,0.9999996933671107,0.9999996933671108
117.53722651306367,1.6906013751752386e-05,-6.396287889992206e-06,-8.33279558799497e-05,0.9999996788775981,0.9999996788775982,0.9999996788775982
123.09079138896018,1.6906013495218198e-05,-6.39628779293405e-06,-8.332795461551978e-05,0.9999996637034648,0.9999996637034648,0.9999996637034649
128.90675894140244,1.6906013226562925e-05,-6.396287691289955e-06,-8.332795329134632e-05,0.9999996478123631,0.999999647812363,0.9999996478123631
134.99752754264296,1.6906012945213854e-05,-6.396287584843238e-06,-8.332795190460646e-05,0.9999996311704162,0.9999996311704162,0.9999996311704162
141.37608138073614,1.690601265057121e-05,-6.396287473366979e-06,-8.3327950452344e-05,0.9999996137421476,0.9999996137421476,0.9999996137421476
148.05601813899102,1.690601234200688e-05,-6.3962873566235335e-06,-8.3327948931463e-05,0.9999995954904038,0.9999995954904037,0.9999995954904037
155.0515779832622,1.690601201886307e-05,-6.396287234364031e-06,-8.332794733872131e-05,0.9999995763762762,0.9999995763762761,0.9999995763762762
162.3776739188721,1.690601168045091e-05,-6.396287106327841e-06,-8.332794567072353e-05,0.9999995563590175,0.9999995563590175,0.9999995563590176
170.0499235818794,1.6906011326048986e-05,-6.396286972242019e-06,-8.332794392391388e-05,0.9999995353959557,0.9999995353959557,0.9999995353959558
178.08468253246812,1.6906010954901788e-05,-6.396286831820725e-06,-8.332794209456855e-05,0.999999513442402,0.999999513442402,0.9999995134424021
186.49907912142942,1.690601056621811e-05,-6.3962866847646095e-06,-8.332794017878775e-05,0.9999994904515564,0.9999994904515562,0.9999994904515564
195.3110510040631,1.6906010159169364e-05,-6.3962865307601825e-06,-8.332793817248749e-05,0.9999994663744072,0.9999994663744072,0.9999994663744073
204.53938337933903,1.6906009732887816e-05,-6.396286369479141e-06,-8.332793607139077e-05,0.9999994411596276,0.9999994411596275,0.9999994411596277
