metric,value
timestamp,2026-01-23T10:10:48.177504Z
seed,45
epochs,800
learning_rate,0.0002
noise_std,0.002
variability_bound,0.05
max_physics_weight,0.1
hidden_layers,4
neurons_per_layer,128
state_mixing,0.2
use_concentration_feature,False
trainable_params,ohmic_conductance
train_samples,800
test_samples,200
training_time_minutes,0.04174264272054037
pinn_inference_ms_per_1000pts,2.592802047729492
vteam_inference_ms_per_1000pts,2.702474594116211
pinn_rrmse,0.2016230349846291
vteam_rrmse,0.27294956818617216
improvement_factor,1.3537618269012799
set_voltage_mean,0.9875751602649688
set_voltage_std,0.09318960829002937
on_resistance_cv,0.6328334849007126
final_total_loss,5.4473653108289e-06
final_data_loss,1.0910504215644323e-06
final_physics_loss,4.356314821052365e-05
final_lambda_physics,0.1
noise_rrmse_0.010,0.001902901283198689
noise_rrmse_0.020,0.003264432157511499
noise_rrmse_0.050,0.009632843207523665
noise_rrmse_0.100,0.01792739737163316
param_ohmic_conductance,9.999997701015673e-07
