metric,value
timestamp,2026-01-23T10:10:52.031995Z
seed,46
epochs,800
learning_rate,0.0002
noise_std,0.002
variability_bound,0.05
max_physics_weight,0.1
hidden_layers,4
neurons_per_layer,128
state_mixing,0.2
use_concentration_feature,False
trainable_params,ohmic_conductance
train_samples,800
test_samples,200
training_time_minutes,0.040101889769236246
pinn_inference_ms_per_1000pts,2.900362014770508
vteam_inference_ms_per_1000pts,2.510547637939453
pinn_rrmse,0.1530550048287169
vteam_rrmse,0.27294956818617216
improvement_factor,1.783342978503896
set_voltage_mean,1.0028056156635285
set_voltage_std,0.09282690276495957
on_resistance_cv,0.6004753393450448
final_total_loss,8.063406085057068e-07
final_data_loss,2.6956845999848156e-07
final_physics_loss,5.367721769289346e-06
final_lambda_physics,0.1
noise_rrmse_0.010,0.0034912988002838664
noise_rrmse_0.020,0.0055662531955277626
noise_rrmse_0.050,0.013739017528039696
noise_rrmse_0.100,0.03117296721062161
param_ohmic_conductance,9.999997701015673e-07
