max_physics_weight,epochs,seed,train_samples,test_samples,rrmse,mape,final_total_loss,final_data_loss,final_physics_loss,final_lambda_physics,training_time_seconds,diverged_nan,res_ohmic,res_sclc,res_ode,res_total,waveform_latency_mean_ms,waveform_latency_p95_ms,waveform_throughput_sps,sample_latency_mean_ms,sample_latency_p95_ms,sample_throughput_sps
0.0,800,42,800,200,0.04289590299814065,19.98472232458781,2.0008398493587265e-08,2.0008398493587265e-08,0.034723300486803055,0.0,2.5095436573028564,False,1.1111364051075157e-09,6.160068721783318e-08,0.03519889712333679,0.035198960453271866,0.424653,0.6133449999999999,470972.7707092615,0.148424,0.2178299999999999,6737.454859052445
0.1,800,42,800,200,0.06327318109525361,24.72750031097411,1.0080252650368493e-05,2.286862788025701e-08,0.00010057384497486055,0.1,2.589294910430908,False,1.1223556528605627e-09,3.7196439706121964e-08,4.239098416292109e-06,4.277417247067206e-06,0.441275,0.60668,453232.11149509944,0.146584,0.2150799999999998,6822.026960650548
0.5,800,42,800,200,0.4080112318882497,179.7047978394474,8.452088513877243e-05,2.2013314548985363e-07,0.00016860150208231062,0.5,2.553734302520752,False,4.089266258944235e-09,9.468417516700356e-08,5.066328412794974e-06,5.165101811144268e-06,0.43981950000000003,0.66641,454731.99801282113,0.1510905,0.19591499999999998,6618.549809551229
1.0,800,42,800,200,0.40550118477190045,187.31577306413797,0.00015891777002252638,1.5416657106470666e-07,0.00015876360703259706,1.0,2.5161476135253906,False,1.6212037934337786e-08,1.1657218124128121e-07,7.887984793342184e-06,8.020769200811628e-06,0.4248695,0.5782199999999997,470732.77794711076,0.156308,0.26609999999999995,6397.625201525194
